10.0,18.0
14.0,18.0
6.0,9.0
15.0,24.0
9.0,18.0
18.0,19.0
9.0,13.0
14.0,16.0
12.0,20.0
10.0,15.0
10.0,16.0
9.0,16.0
14.0,18.0
14.0,22.0
8.0,15.0
16.0,21.0
12.0,12.0
15.0,16.0
10.0,21.0
13.0,16.0
7.0,9.0
13.0,28.0
11.0,14.0
14.0,20.0
8.0,11.0
7.0,7.0
16.0,20.0
15.0,17.0
19.0,21.0
10.0,16.0
11.0,12.0
9.0,17.0
14.0,23.0
8.0,13.0
14.0,21.0
11.0,18.0
12.0,21.0
6.0,16.0
11.0,16.0
11.0,14.0
11.0,23.0
9.0,18.0
12.0,17.0
12.0,15.0
8.0,15.0
15.0,25.0
14.0,18.0
8.0,12.0
13.0,20.0
11.0,17.0
7.0,10.0
10.0,18.0
11.0,12.0
7.0,7.0
8.0,11.0
15.0,20.0
14.0,20.0
7.0,15.0
14.0,20.0
11.0,18.0
11.0,15.0
10.0,13.0
12.0,14.0
11.0,11.0
12.0,18.0
20.0,21.0
8.0,11.0
7.0,7.0
13.0,20.0
10.0,15.0
7.0,12.0
7.0,9.0
11.0,15.0
10.0,15.0
7.0,12.0
15.0,16.0
6.0,9.0
12.0,14.0
16.0,19.0
16.0,20.0
12.0,23.0
16.0,17.0
10.0,16.0
5.0,11.0
11.0,16.0
11.0,22.0
8.0,19.0
10.0,14.0
10.0,11.0
14.0,17.0
16.0,17.0
15.0,16.0
12.0,19.0
13.0,23.0
11.0,21.0
18.0,21.0
8.0,12.0
12.0,13.0
7.0,11.0
6.0,11.0
